Eviction ID,Address,City,State,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Location,Shape,data_as_of,data_loaded_at,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,Fix It Zones as of 2018-02-07,Neighborhoods
E992528,0 Block Of Sycamore Street,San Francisco,CA,94110,12/15/1999,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,9,Mission,"(37.762656615, -122.421286801)",POINT (-122.421286801 37.762656615),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,53,3,2,20,19,4,7,8,28859,,,2,,,53
E981325,500 Block Of 17th Avenue,San Francisco,CA,94121,06/16/1998,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,1,Outer Richmond,"(37.777620203, -122.476025857)",POINT (-122.476025857 37.777620203),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,5,8,4,29,26,6,2,11,55,,,1,,,5
E981670,300 Block Of Arkansas Street,San Francisco,CA,94107,07/24/1998,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,10,Potrero Hill,"(37.76182764, -122.398330717)",POINT (-122.398330717 37.76182764),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,54,2,9,26,29,3,8,10,28856,,,1,,,54
E992600,1700 Block Of 07th Avenue,San Francisco,CA,94122,12/29/1999,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,7,Inner Sunset,"(37.755777522, -122.463657528)",POINT (-122.463657528 37.755777522),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,44,7,8,14,12,5,4,1,56,,,1,,,44
M181673,1800 Block Of Pacific Avenue,San Francisco,CA,94109,06/01/2018,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,,2,Pacific Heights,"(37.794556653, -122.425703947)",POINT (-122.425703947 37.794556653),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,102,4,6,30,27,9,1,13,28858,,,1,,,102
E981038,300 Block Of Fillmore Street,San Francisco,CA,94117,05/14/1998,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,5,Hayes Valley,"(37.772582794, -122.430463243)",POINT (-122.430463243 37.772582794),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,26,4,11,9,10,9,11,7,29492,,,1,,,26
M220363,700 Block Of Tehama Street,San Francisco,CA,94103,03/11/2022,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,6,South of Market,"(37.775140431, -122.411799524)",POINT (-122.411799524 37.775140431),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,32,1,10,34,34,2,9,8,28853,,,2,,,32
E982842,1000 Block Of Treat Avenue,San Francisco,CA,94110,12/14/1998,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,9,Mission,"(37.753372651, -122.412999034)",POINT (-122.412999034 37.753372651),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,53,3,2,20,19,4,7,2,28859,,,2,,,53
M191392,100 Block Of Font Boulevard,San Francisco,CA,94132,06/27/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,"(37.715544557, -122.473629106)",POINT (-122.473629106 37.715544557),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,42,10,8,16,14,8,4,1,64,,,2,,,42
M171553,700 Block Of Niagara Avenue,San Francisco,CA,94112,06/08/2017,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,11/28/2021,11,Oceanview/Merced/Ingleside,"(37.72069641, -122.450484027)",POINT (-122.450484027 37.72069641),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,81,10,1,24,24,8,6,9,28861,,,2,,,81
M220449,0 Block Of 06th Street,San Francisco,CA,94103,03/15/2022,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,6,South of Market,"(37.781145862, -122.409026046)",POINT (-122.409026046 37.781145862),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,32,5,10,34,34,2,9,14,28853,7,1,2,1,6,32
M210782,500 Block Of Bush Street,San Francisco,CA,94108,06/08/2021,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,3,Financial District/South Beach,"(37.790571667, -122.405963224)",POINT (-122.405963224 37.790571667),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,104,6,3,8,6,1,10,5,28857,,,2,,,104
E982650,300 Block Of Corbett Avenue,San Francisco,CA,94114,11/13/1998,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,8,Castro/Upper Market,"(37.760010373, -122.445135252)",POINT (-122.445135252 37.760010373),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,115,7,5,5,3,5,5,15,28862,,,1,,,115
M161876,300 Block Of Eddy Street,San Francisco,CA,94102,05/27/2016,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,,5,Tenderloin,"(37.783730041, -122.413753669)",POINT (-122.413753669 37.783730041),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,20,5,10,36,36,10,9,7,28852,6,1,2,1,18,20
M182554,1200 Block Of Montgomery Street,San Francisco,CA,94133,09/12/2018,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,3,North Beach,"(37.800813103, -122.404313967)",POINT (-122.404313967 37.800813103),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,18,6,3,23,23,1,10,3,308,,,1,,,18
M162317,100 Block Of Font Boulevard,San Francisco,CA,94132,07/14/2016,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,"(37.715544557, -122.473629106)",POINT (-122.473629106 37.715544557),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,42,10,8,16,14,8,4,1,64,,,2,,,42
E990959,1800 Block Of 09th Avenue,San Francisco,CA,94122,05/25/1999,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,7,Inner Sunset,"(37.753777155, -122.465666709)",POINT (-122.465666709 37.753777155),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,44,10,8,14,12,8,4,1,56,,,1,,,44
