"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","population_proper","density","source","incorporated","timezone","zips","id"
"Grover","Grover","WY","Wyoming","56023","Lincoln","42.7947","-110.9294","","","36.8","polygon","False","America/Denver","83122","1840017455"
"Mammoth","Mammoth","WY","Wyoming","56029","Park","44.9733","-110.6931","","","42.8","polygon","False","America/Denver","82190","1840023927"
"Johnstown","Johnstown","WY","Wyoming","56013","Fremont","43.1118","-108.6955","","","2.7","polygon","False","America/Denver","82516 82501","1840038432"
"Devils Tower","Devils Tower","WY","Wyoming","56011","Crook","44.5892","-104.6966","","","4.1","point","False","America/Denver","82714","1840038409"
"Kelly","Kelly","WY","Wyoming","56039","Teton","43.6233","-110.6265","","","41.5","polygon","False","America/Denver","83011","1840026121"
"Emblem","Emblem","WY","Wyoming","56003","Big Horn","44.5058","-108.3918","","","2.3","point","False","America/Denver","82422","1840038411"
"Almy","Almy","WY","Wyoming","56041","Uinta","41.3316","-111.0046","","","15.2","point","False","America/Denver","82930","1840038315"
"Quealy","Quealy","WY","Wyoming","56037","Sweetwater","41.5383","-109.2226","","","1.4","point","False","America/Denver","82901","1840038382"
"Bondurant","Bondurant","WY","Wyoming","56035","Sublette","43.1948","-110.4026","","","4.1","polygon","False","America/Denver","82922","1840017448"
"Hyattville","Hyattville","WY","Wyoming","56003","Big Horn","44.2498","-107.6148","","","48.0","polygon","False","America/Denver","82428","1840017426"
"Carter","Carter","WY","Wyoming","56041","Uinta","41.4405","-110.4303","","","3.2","polygon","False","America/Denver","82937","1840017481"
"Lusk","Lusk","WY","Wyoming","56027","Niobrara","42.7612","-104.4583","1599","1599","298","polygon","True","America/Denver","82225","1840021285"
"Ranchettes","Ranchettes","WY","Wyoming","56021","Laramie","41.2184","-104.7729","","","38.9","polygon","False","America/Denver","82009","1840038441"
"Savery","Savery","WY","Wyoming","56007","Carbon","41.0250","-107.4498","","","2.1","point","False","America/Denver","82332","1840038344"
"Shoshoni","Shoshoni","WY","Wyoming","56013","Fremont","43.2380","-108.1068","644","644","69","polygon","True","America/Denver","82649","1840022355"
"Ranchester","Ranchester","WY","Wyoming","56033","Sheridan","44.9079","-107.1661","944","944","586","polygon","True","America/Denver","82839","1840021245"
"Lucerne","Lucerne","WY","Wyoming","56017","Hot Springs","43.7136","-108.1872","","","19.7","polygon","False","America/Denver","82443","1840017431"
"Big Piney","Big Piney","WY","Wyoming","56035","Sublette","42.5403","-110.1213","521","521","449","polygon","True","America/Denver","83113","1840020061"
"Teton Village","Teton Village","WY","Wyoming","56039","Teton","43.5931","-110.8441","","","26.1","polygon","False","America/Denver","83025","1840018613"
"New London","New London","NH","New Hampshire","33013","Merrimack","43.4139","-71.9844","","","281.5","polygon","False","America/New_York","03257","1840026155"
"Peterborough","Peterborough","NH","New Hampshire","33011","Hillsborough","42.8790","-71.9593","","","380.0","polygon","False","America/New_York","03458","1840002990"
"Union","Union","NH","New Hampshire","33003","Carroll","43.4913","-71.0233","","","135.3","polygon","False","America/New_York","03887","1840026137"
"Walpole","Walpole","NH","New Hampshire","33005","Cheshire","43.0792","-72.4236","","","421.7","polygon","False","America/New_York","03608","1840026183"
